event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,clean,1,1,0.338961,2.0000000000000003e-06,,,,,115.53125,115.53125
train_step,clean,1,2,0.103048,4.000000000000001e-06,,,,,115.4375,230.875
train_step,clean,1,3,0.097247,6e-06,,,,,118.21875,354.65625
train_step,clean,1,4,0.096993,8.000000000000001e-06,,,,,118.1484375,472.59375
train_step,clean,1,5,1.535336,1e-05,,,,,116.61875,583.09375
train_step,clean,1,6,0.12364,1.2e-05,,,,,117.93229166666667,707.59375
train_step,clean,1,7,0.105864,1.4e-05,,,,,117.58482142857143,823.09375
train_step,clean,1,8,0.10564,1.6000000000000003e-05,,,,,119.453125,955.625
train_step,clean,1,9,4.589124,1.8e-05,,,,,120.05208333333333,1080.46875
train_step,clean,1,10,0.08833,2e-05,,,,,118.284375,1182.84375
train_step,clean,1,11,0.108604,1.988372093023256e-05,,,,,117.63352272727273,1293.96875
train_step,clean,1,12,0.080456,1.9767441860465116e-05,,,,,116.14583333333333,1393.75
train_step,clean,1,13,0.114992,1.9651162790697676e-05,,,,,116.84375,1518.96875
train_step,clean,1,14,0.941731,1.9534883720930235e-05,,,,,117.23883928571429,1641.34375
train_step,clean,1,15,1.504463,1.941860465116279e-05,,,,,116.68333333333334,1750.25
train_step,clean,1,16,0.073082,1.9302325581395353e-05,,,,,115.185546875,1842.96875
train_step,clean,1,17,0.088536,1.918604651162791e-05,,,,,116.02757352941177,1972.46875
train_step,clean,1,18,0.516435,1.9069767441860468e-05,,,,,116.046875,2088.84375
train_step,clean,1,19,0.810133,1.8953488372093027e-05,,,,,115.96710526315789,2203.375
train_step,clean,1,20,0.071652,1.8837209302325582e-05,,,,,116.046875,2320.9375
train_step,clean,1,21,0.070058,1.872093023255814e-05,,,,,115.4702380952381,2424.875
train_step,clean,1,22,0.047843,1.86046511627907e-05,,,,,114.48863636363636,2518.75
train_step,clean,1,23,0.261117,1.8488372093023256e-05,,,,,115.18614130434783,2649.28125
train_step,clean,1,24,0.247617,1.8372093023255815e-05,,,,,114.63541666666667,2751.25
train_step,clean,1,25,0.246155,1.825581395348837e-05,,,,,114.75625,2868.90625
train_step,clean,1,26,0.052963,1.813953488372093e-05,,,,,114.3954326923077,2974.28125
train_step,clean,1,27,0.219637,1.802325581395349e-05,,,,,113.79861111111111,3072.5625
train_step,clean,1,28,0.048994,1.790697674418605e-05,,,,,113.16852678571429,3168.71875
train_step,clean,1,29,0.062099,1.7790697674418608e-05,,,,,112.40517241379311,3259.75
train_step,clean,1,30,0.047558,1.7674418604651163e-05,,,,,112.05104166666666,3361.53125
train_step,clean,1,31,0.055795,1.7558139534883722e-05,,,,,112.20262096774194,3478.28125
train_step,clean,1,32,0.040106,1.744186046511628e-05,,,,,112.140625,3588.5
train_step,clean,1,33,0.057509,1.7325581395348837e-05,,,,,112.05492424242425,3697.8125
train_step,clean,1,34,0.053361,1.7209302325581396e-05,,,,,112.12775735294117,3812.34375
train_step,clean,1,35,0.18327,1.7093023255813955e-05,,,,,112.33839285714286,3931.8437500000005
train_step,clean,1,36,0.049776,1.697674418604651e-05,,,,,112.28038194444444,4042.09375
train_step,clean,1,37,0.039952,1.6860465116279073e-05,,,,,111.79898648648648,4136.5625
train_step,clean,1,38,0.043316,1.674418604651163e-05,,,,,112.02055921052632,4256.78125
train_step,clean,1,39,0.029923,1.6627906976744188e-05,,,,,111.67467948717949,4355.3125
train_step,clean,1,40,0.043615,1.6511627906976747e-05,,,,,111.9734375,4478.9375
train_step,clean,1,41,0.026956,1.6395348837209303e-05,,,,,112.22865853658537,4601.375
train_step,clean,1,42,0.157331,1.6279069767441862e-05,,,,,112.10044642857143,4708.21875
