phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
easy,1830,278,99.14592912979424,5.486945364624262,0.6136612021857923,0.40443812708503674,0.5774245129842155,0.6136612021857923,0.8,0.20331855333006274,228.0647627614122,63402.00404767259,0.38012136562887455,2.0,278.0
easy_medium,1830,834,170.64182993769646,5.434187158942223,0.7120218579234973,0.5887741385308439,0.7084739454851525,0.7120218579234973,0.8,0.33114369397214155,225.70954201334231,188241.75803912748,0.5710144115930169,2.0,834.0
all,1830,1762,277.543090717867,5.442733108066022,0.760655737704918,0.6978991426604046,0.7594799878129413,0.760655737704918,0.8,0.33390228197692656,222.44711521391798,391951.8170069235,0.6936709144287494,2.0,1762.0
