phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
easy,1060,162,12.575572012923658,0.25220748595893383,0.8056603773584906,0.7226117886178862,0.7796003029605767,0.8056603773584906,0.8,0.5287235287235287,5.7679472254559565,934.407450523865,0.6903331673828739,2.0,162.0
easy_medium,1060,486,12.746085405349731,0.24421067908406258,0.8273584905660377,0.7595182927509605,0.8074763722010506,0.8273584905660377,0.8,0.6304639313488871,5.783081102056655,2810.577415599534,0.8094739848635553,1.0,324.0
all,1060,1024,19.698582348413765,0.24881391413509846,0.9028301886792452,0.8892651722840402,0.903817400115015,0.9028301886792452,0.8,0.6611560390276485,5.810133562063473,5949.576767552996,0.8956775590921933,1.0,755.0
