phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
clean,500,76,30.746637967415154,1.4513316545635462,0.928,0.9278337289114119,0.927833728911412,0.928,0.8,0.7286704853783539,129.7292181069959,9859.420576131688,0.9487773373123691,2.0,76.0
diverse,500,228,46.22915306780487,1.452304670587182,0.97,0.96999699969997,0.96999699969997,0.97,0.8,0.8677725688183676,129.32976680384087,29487.186831275718,0.9799991110716032,1.0,152.0
hard,500,470,71.670574051328,1.4559283312410116,0.978,0.977999207971487,0.9779992079714871,0.978,0.8,0.7485714285714287,128.42111585691404,60357.9244527496,0.9866656130854783,1.0,349.0
