phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
clean,820,84,37.84244642686099,2.5579226138070226,0.6390243902439025,0.37690254637335613,0.6071301476843594,0.6390243902439025,0.8,0.22005706457361227,145.48134044173648,12220.432597105864,0.37549132494171716,2.0,84.0
diverse,820,248,52.279376745224,2.5502469716593623,0.748780487804878,0.528355841214341,0.7341353819622015,0.748780487804878,0.8,0.35737969984741863,141.93116586233174,35198.92913385827,0.5185451919645117,2.0,248.0
hard,820,508,79.92747294250876,2.5463337041437626,0.7987804878048781,0.7333163209493861,0.8089476542052143,0.7987804878048781,0.8,0.3834907317213597,143.72290198986528,73011.23421085156,0.7309995582521785,2.0,508.0
