phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
clean,500,54,25.771047078073025,1.455779891461134,0.92,0.919994879672299,0.919994879672299,0.92,0.8,0.7699769976997699,132.7398081534772,7167.949640287769,0.9511111111111111,2.0,54.0
diverse,500,160,32.556712970137596,1.4522681636735797,0.96,0.9599974398361495,0.9599974398361496,0.96,0.8,0.8166325099773487,131.29988004798082,21007.980807676933,0.9666585988708378,1.0,107.0
hard,500,326,49.86535708140582,1.4524324983358383,0.98,0.98,0.98,0.98,0.8,0.8139880952380952,129.5899630422097,42246.32795176036,0.9688864305327829,2.0,326.0
