name,seconds
data_load_time_s,0.7699334807693958
is_fit_time_s,11.775253276340663
preprocess_time_s,11.775253276340663
cl_signal_extract,0.8178734332323074
data_load_time_s,0.8443391267210245
is_fit_time_s,12.251741484738886
preprocess_time_s,12.251741484738886
cl_signal_extract,0.7933540781959891
data_load_time_s,0.7829844243824482
is_fit_time_s,11.672391300089657
preprocess_time_s,11.672391300089657
cl_signal_extract,0.7579781515523791
cl_phase_build,199.54847412835807
model_train_time_s,905.9091807743534
metric_eval_time_s,44.996430770494044
total_run_time_s,967.3314178651199
cl_phase_build,67.27686982695013
model_train_time_s,778.0307753477246
metric_eval_time_s,39.97670057695359
total_run_time_s,825.1451563406736
cl_phase_build,267.22710518632084
model_train_time_s,2048.3725739773363
metric_eval_time_s,51.48853732086718
total_run_time_s,2077.4794166292995
