phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
clean,817,82,39.28931185323745,2.4906235421076417,0.6609547123623011,0.39720824309769653,0.6273646619360984,0.6609547123623011,0.8,0.21972659641554787,148.5106707317073,12177.875,0.3720483592530512,2.0,82.0
diverse,817,246,52.74908181279898,2.4369504591450095,0.7527539779681762,0.5950492222472274,0.7482263208589778,0.7527539779681762,0.8,0.3778911669793064,144.30868902439025,35499.9375,0.5799526880983761,2.0,246.0
hard,817,506,80.25221222266555,2.42776451818645,0.8151774785801713,0.7428397795503877,0.8173690568970863,0.8151774785801713,0.8,0.42089706364978036,145.5964652082561,73671.81139537758,0.7051207154648746,2.0,506.0
