phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
clean,1061,108,13.386470401659608,0.2582349618896842,0.8444863336475024,0.805298366781776,0.8381471037133408,0.8444863336475024,0.8,0.6072168468981218,5.849266862170088,631.7208211143695,0.8141119221411193,2.0,108.0
diverse,1061,326,8.237203666940331,0.25757850520312786,0.8746465598491989,0.8550637260289169,0.8750984713988977,0.8746465598491989,0.8,0.6314534231200898,5.808605054987459,1893.6052479259117,0.874729689719402,2.0,326.0
hard,1061,664,12.42759483680129,0.2578900931403041,0.8963242224316682,0.8773838240361744,0.895506651277906,0.8963242224316682,0.8,0.6911924610366075,5.827657964434355,3869.5648883844115,0.8975667310226472,2.0,664.0
