phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,accuracy,hard_slice_macro_f1
clean,2077,130,129.86897378694266,12.111967749893665,0.5346385542168675,0.04742235867477611,0.5346385542168675,0.01641561638669794
diverse,4154,390,246.4225410632789,12.128695788793266,0.6423192771084337,0.14950999444707538,0.6423192771084337,0.055001880312755325
hard,6579,802,383.8410720368847,12.11385614797473,0.7070783132530121,0.38570923780460603,0.7070783132530121,0.256630896443412
