phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,822,358,115.94923270307481,2.5242360774427652,0.7907542579075426,0.6522716333939403,0.7873838864360435,0.7907542579075426,0.8,0.4110116732718495,143.9216888577435,51523.96461107217,0.6918114199261062,2.0,358.0
step_02,822,760,121.80093517247587,2.492129860445857,0.8126520681265207,0.7322542648680288,0.8243053299311736,0.8126520681265207,0.8,0.46950085837303884,144.8981443298969,110122.58969072164,0.706734983741974,2.0,760.0
step_03,822,1176,125.85691565275192,2.527933707460761,0.8613138686131386,0.8021545949700677,0.8624830545865417,0.8613138686131386,0.8,0.6270028380258559,145.19175818317518,170745.507623414,0.7840182800586264,2.0,1176.0
step_04,822,1592,125.64478825684637,2.5375605449080467,0.8710462287104623,0.813416068736481,0.8719704058358428,0.8710462287104623,0.8,0.5562886223191567,145.3331889593259,231370.43682324683,0.7996667662024883,2.0,1592.0
step_05,822,2008,125.58103968389332,2.4758631754666567,0.864963503649635,0.8074469650301702,0.8650934219544902,0.864963503649635,0.8,0.5365448768337672,145.4160007491572,291995.32950430765,0.7996667662024883,2.0,1592.0
step_06,822,2424,125.84036000911146,2.497194917872548,0.8771289537712895,0.8217616450021421,0.8763575224147507,0.8771289537712895,0.8,0.5669436621389345,145.47038138332255,352620.2044731738,0.8007280676141741,2.0,2424.0
step_07,822,2840,125.7852218542248,2.489589453674853,0.8819951338199513,0.8401370390702941,0.8810387856785574,0.8819951338199513,0.8,0.6479821398004237,145.50882729399302,413245.0695149402,0.8139189733382677,2.0,2840.0
step_08,822,3256,125.64043202251196,2.484778458252549,0.8771289537712895,0.8276408002883822,0.8764540890515692,0.8771289537712895,0.8,0.5682780909393107,145.5374473081439,473869.92843531654,0.8139189733382677,2.0,2840.0
step_09,822,3672,125.6463328525424,2.495642184279859,0.8819951338199513,0.8220147945902259,0.8809455819257448,0.8819951338199513,0.8,0.5667986853400644,145.5595815128345,534494.7833151283,0.8139189733382677,2.0,2840.0
step_10,822,4088,125.91116365976632,2.5250355638563633,0.8771289537712895,0.8319007453637755,0.8765772192659164,0.8771289537712895,0.8,0.5115250258107401,145.57721022213366,595119.6353880824,0.8139189733382677,2.0,2840.0
