phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,1060,152,15.052752375602722,0.2736697709187865,0.8849056603773585,0.8629829290206649,0.8835613419451083,0.8849056603773585,0.8,0.6410603715170279,5.912251655629139,898.6622516556291,0.8444878684253379,2.0,152.0
step_02,1060,400,9.216011916287243,0.2716644210740924,0.909433962264151,0.8967130050669092,0.9103230614230979,0.909433962264151,0.8,0.7144396551724138,5.840691280439906,2336.276512175962,0.858865109661647,2.0,400.0
step_03,1060,706,11.166013673879206,0.27339476346969604,0.910377358490566,0.8969199855462779,0.910904409650264,0.910377358490566,0.8,0.7068950138257069,5.846235890143098,4127.442538441027,0.8782608805402943,1.0,553.0
step_04,1060,1062,13.657106599770486,0.27352864667773247,0.9188679245283019,0.9063157721652197,0.9191914336098246,0.9188679245283019,0.8,0.7395868230039084,5.849734199645599,6212.417720023626,0.8912660953090713,1.0,884.0
step_05,1060,1418,13.07817410491407,0.27390813641250134,0.9150943396226415,0.9003276441383461,0.9147324108117519,0.9150943396226415,0.8,0.7321717262439374,5.85147507629705,8297.391658189217,0.8912660953090713,1.0,884.0
step_06,1060,1774,12.993647598661482,0.28181205224245787,0.9169811320754717,0.9028721844595495,0.9167715932494928,0.9169811320754717,0.8,0.7360498019241652,5.852516968325792,10382.365101809954,0.8912660953090713,1.0,884.0
step_07,1060,2130,12.97805896308273,0.27211806178092957,0.9132075471698113,0.8979382522239665,0.9127606409762744,0.9132075471698113,0.8,0.7301214257735997,5.853210468984603,12467.338298937204,0.8912660953090713,1.0,884.0
step_08,1060,2486,12.920373161323369,0.27117734029889107,0.910377358490566,0.8970809626353815,0.9109706359959155,0.910377358490566,0.8,0.7398656939517658,5.8537052918327195,14552.31135549614,0.8912660953090713,1.0,884.0
step_09,1060,2842,12.909890973940492,0.27108871657401323,0.9169811320754717,0.9023757195185766,0.9165536565860016,0.9169811320754717,0.8,0.7405602652248404,5.85407611693326,16637.284324324322,0.8912660953090713,1.0,884.0
step_10,1060,3198,12.92406007554382,0.27112181950360537,0.9132075471698113,0.8979382522239665,0.9127606409762744,0.9132075471698113,0.8,0.7260249554367202,5.854364363579327,18722.257234726687,0.8912660953090713,1.0,884.0
