phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
clean,500,76,34.20476635359228,1.447855046018958,0.946,0.945999783999136,0.945999783999136,0.946,0.8,0.8181818181818181,128.63868312757202,9776.539917695474,0.9533331028795204,2.0,76.0
diverse,500,228,46.145468194969,1.448374604806304,0.97,0.96999987999952,0.96999987999952,0.97,0.8,0.8176090200630077,129.22606310013717,29463.542386831276,0.964441634894609,2.0,228.0
hard,500,470,71.52785698883235,1.4594188844785094,0.982,0.981999927999712,0.981999927999712,0.982,0.8,0.9198717948717949,128.41684463427657,60355.91697810999,0.9822208174473044,1.0,349.0
