event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,step_01,1,1,1.472923,1.6666666666666667e-06,,,,,228.875,228.875
train_step,step_01,1,2,1.178209,3.3333333333333333e-06,,,,,232.125,464.25
train_step,step_01,1,3,1.259735,5e-06,,,,,232.14583333333334,696.4375
train_step,step_01,1,4,1.846195,6.666666666666667e-06,,,,,227.5,910.0
train_step,step_01,1,5,1.900931,8.333333333333334e-06,,,,,229.8,1149.0
train_step,step_01,1,6,1.464263,1e-05,,,,,233.546875,1401.28125
train_step,step_01,1,7,0.836605,1.1666666666666668e-05,,,,,232.42857142857142,1627.0
train_step,step_01,1,8,1.707898,1.3333333333333333e-05,,,,,231.19140625,1849.53125
train_step,step_01,1,9,1.257963,1.5000000000000002e-05,,,,,231.06944444444446,2079.625
train_step,step_01,1,10,3.432129,1.6666666666666667e-05,,,,,231.075,2310.75
train_step,step_01,1,11,1.089124,1.8333333333333333e-05,,,,,229.0028409090909,2519.03125
train_step,step_01,1,12,1.139368,2e-05,,,,,227.328125,2727.9375
train_step,step_01,1,13,3.111099,1.9901960784313726e-05,,,,,226.98317307692307,2950.78125
train_step,step_01,1,14,2.903958,1.9803921568627454e-05,,,,,225.94419642857142,3163.21875
train_step,step_01,1,15,2.418467,1.9705882352941178e-05,,,,,226.525,3397.875
train_step,step_01,1,16,3.047229,1.9607843137254903e-05,,,,,225.537109375,3608.59375
train_step,step_01,1,17,1.394475,1.950980392156863e-05,,,,,226.40441176470588,3848.875
train_step,step_01,1,18,1.336625,1.9411764705882355e-05,,,,,226.44618055555554,4076.03125
train_step,step_01,1,19,1.393264,1.931372549019608e-05,,,,,225.5690789473684,4285.8125
train_step,step_01,1,20,1.780043,1.9215686274509807e-05,,,,,225.671875,4513.4375
train_step,step_01,1,21,1.899067,1.911764705882353e-05,,,,,226.0922619047619,4747.9375
train_step,step_01,1,22,2.325098,1.9019607843137255e-05,,,,,226.2059659090909,4976.53125
train_step,step_01,1,23,1.50002,1.892156862745098e-05,,,,,226.1875,5202.3125
train_step,step_01,1,24,1.490518,1.8823529411764708e-05,,,,,225.92578125,5422.21875
train_step,step_01,1,25,1.593151,1.8725490196078432e-05,,,,,226.14375,5653.59375
train_step,step_01,1,26,3.381288,1.862745098039216e-05,,,,,226.55769230769232,5890.5
train_step,step_01,1,27,1.052573,1.8529411764705884e-05,,,,,226.53703703703704,6116.5
train_step,step_01,1,28,1.348147,1.843137254901961e-05,,,,,226.15178571428572,6332.25
train_step,step_01,1,29,1.090269,1.8333333333333333e-05,,,,,226.38038793103448,6565.03125
train_step,step_01,1,30,1.016784,1.823529411764706e-05,,,,,226.06354166666668,6781.90625
train_step,step_01,1,31,1.265412,1.8137254901960785e-05,,,,,226.48487903225808,7021.03125
train_step,step_01,1,32,1.00102,1.8039215686274513e-05,,,,,226.2841796875,7241.09375
train_step,step_01,1,33,3.319846,1.7941176470588237e-05,,,,,226.13636363636363,7462.5
train_step,step_01,1,34,5.630888,1.7843137254901965e-05,,,,,226.04595588235293,7685.5625
train_step,step_01,1,35,1.099026,1.7745098039215686e-05,,,,,226.19821428571427,7916.937499999999
train_step,step_01,1,36,1.136722,1.7647058823529414e-05,,,,,226.12760416666666,8140.59375
train_step,step_01,1,37,0.904431,1.7549019607843138e-05,,,,,226.09881756756758,8365.65625
train_step,step_01,1,38,1.358154,1.7450980392156866e-05,,,,,225.99753289473685,8587.90625
train_step,step_01,1,39,0.996124,1.735294117647059e-05,,,,,226.07772435897436,8817.03125
train_step,step_01,1,40,1.831524,1.7254901960784314e-05,,,,,226.23359375,9049.34375
train_step,step_01,1,41,1.211521,1.715686274509804e-05,,,,,226.23704268292684,9275.71875
train_step,step_01,1,42,1.157947,1.7058823529411767e-05,,,,,226.19419642857142,9500.15625
train_step,step_01,1,43,0.68665,1.696078431372549e-05,,,,,226.49418604651163,9739.25
train_step,step_01,1,44,0.795111,1.686274509803922e-05,,,,,226.38991477272728,9961.15625
train_step,step_01,1,45,1.634223,1.6764705882352943e-05,,,,,226.19930555555555,10178.96875
train_step,step_01,1,46,1.710535,1.6666666666666667e-05,,,,,226.08559782608697,10399.9375
train_step,step_01,1,47,3.038294,1.6568627450980395e-05,,,,,226.15824468085106,10629.4375
train_step,step_01,1,48,1.565671,1.647058823529412e-05,,,,,226.18033854166666,10856.65625
train_step,step_01,1,49,2.935674,1.6372549019607844e-05,,,,,226.25191326530611,11086.34375
train_step,step_01,1,50,1.245943,1.627450980392157e-05,,,,,226.24625,11312.3125
train_step,step_01,1,51,0.967328,1.6176470588235296e-05,,,,,226.5674019607843,11554.9375
train_step,step_01,1,52,2.053379,1.607843137254902e-05,,,,,226.5486778846154,11780.53125
train_step,step_01,1,53,2.044055,1.5980392156862748e-05,,,,,226.62676886792454,12011.21875
train_step,step_01,1,54,3.513264,1.5882352941176473e-05,,,,,226.47800925925927,12229.8125
train_step,step_01,1,55,1.668013,1.5784313725490197e-05,,,,,226.41079545454545,12452.59375
train_step,step_01,1,56,1.374179,1.568627450980392e-05,,,,,226.55970982142858,12687.34375
train_step,step_01,1,57,0.500437,1.558823529411765e-05,,,,,226.55921052631578,12913.875
train_step,step_01,1,58,0.725394,1.5490196078431373e-05,,,,,226.5457974137931,13139.65625
train_step,step_01,1,59,1.179062,1.53921568627451e-05,,,,,226.57150423728814,13367.71875
train_step,step_01,1,60,1.360582,1.5294117647058822e-05,,,,,226.58333333333334,13595.0
train_step,step_01,1,61,3.346112,1.519607843137255e-05,,,,,226.10092213114754,13792.15625
train_step,step_01,1,62,0.903953,1.5098039215686276e-05,,,,,226.140625,14020.71875
