phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,accuracy,hard_slice_macro_f1
clean,1714,108,19.696127402596176,0.9443393098190427,0.8566037735849057,0.8307925612578817,0.8566037735849057,0.665027261600089
diverse,3506,328,26.21672491542995,0.922329475171864,0.9,0.8876058321729805,0.9,0.6713178294573643
hard,5393,666,35.348102130927145,0.592579698190093,0.9141509433962264,0.9018693252625958,0.9141509433962264,0.7042410714285714
