name,seconds
data_load_time_s,0.7867920119315386
is_fit_time_s,13.244674396701157
preprocess_time_s,13.244674396701157
cl_signal_extract,1.176130753941834
data_load_time_s,0.7610847605392337
is_fit_time_s,11.558096249587834
preprocess_time_s,11.558096249587834
cl_signal_extract,1.1616576863452792
data_load_time_s,0.8028950961306691
is_fit_time_s,13.494612673297524
preprocess_time_s,13.494612673297524
cl_signal_extract,1.1514581516385078
cl_phase_build,204.23473170772195
model_train_time_s,1841.9367737667635
metric_eval_time_s,32.269635906443
total_run_time_s,1925.7816787520424
cl_phase_build,262.2877956945449
model_train_time_s,1247.4695808989927
metric_eval_time_s,40.010387832298875
total_run_time_s,1329.2108740629628
cl_phase_build,109.0267754374072
model_train_time_s,1304.7272112648934
metric_eval_time_s,45.118589957244694
total_run_time_s,1388.399852710776
