phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
clean,821,126,95.20946227759123,5.076471114531159,0.7040194884287454,0.4141314780715158,0.6653140460199807,0.7040194884287454,0.8,0.23568832087940367,148.82178714859438,18751.545180722893,0.42138833374887696,2.0,126.0
diverse,821,376,149.47569498140365,5.0009453212842345,0.7892813641900122,0.6237466665185105,0.7823069122990066,0.7892813641900122,0.8,0.37462997320140173,143.88955823293173,54102.473895582334,0.596544681061111,2.0,376.0
hard,821,772,248.71479517500848,5.108799247071147,0.8343483556638246,0.7718419236996326,0.8390610466005968,0.8343483556638246,0.8,0.47172709532441887,144.64816020840118,111668.37968088572,0.7676516906680861,2.0,772.0
