phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,accuracy,hard_slice_macro_f1
clean,2577,162,26.086652345955372,0.907410403713584,0.8350612629594723,0.7930591359919397,0.8350612629594723,0.6363118952760387
diverse,5180,486,39.838426645845175,0.9107599155977368,0.8746465598491989,0.8575043648521605,0.8746465598491989,0.6115319865319866
hard,8161,998,61.21572831925005,0.910112994723022,0.8934967012252591,0.8796401240411557,0.8934967012252591,0.6531819745442036
